:animal and young
shoe foot ring finger
shoe foot bracelet wrist
shoe foot anklet ankle
shoe foot belt waist
shoe foot scarf neck
hat head glove hand
hat head shoe foot
hat head crown head
hat head necklace neck
hat head ring finger
hat head bracelet wrist
hat head anklet ankle
hat head belt waist
hat head scarf neck
crown head glove hand
crown head shoe foot
crown head hat head
crown head necklace neck
crown head ring finger
crown head bracelet wrist
crown head anklet ankle
crown head belt waist
crown head scarf neck
necklace neck glove hand
necklace neck shoe foot
necklace neck hat head
necklace neck crown head
necklace neck ring finger
necklace neck bracelet wrist
necklace neck anklet ankle
necklace neck belt waist
necklace neck scarf neck
ring finger glove hand
ring finger shoe foot
ring finger hat head
ring finger crown head
ring finger necklace neck
ring finger bracelet wrist
ring finger anklet ankle
ring finger belt waist
ring finger scarf neck
bracelet wrist glove hand
bracelet wrist shoe foot
bracelet wrist hat head
bracelet wrist crown head
bracelet wrist necklace neck
bracelet wrist ring finger
bracelet wrist anklet ankle
bracelet wrist belt waist
bracelet wrist scarf neck
anklet ankle glove hand
anklet ankle shoe foot
anklet ankle hat head
anklet ankle crown head
anklet ankle necklace neck
anklet ankle ring finger
anklet ankle bracelet wrist
anklet ankle belt waist
anklet ankle scarf neck
belt waist glove hand
belt waist shoe foot
belt waist hat head
belt waist crown head
belt waist necklace neck
belt waist ring finger
belt waist bracelet wrist
belt waist anklet ankle
belt waist scarf neck
scarf neck glove hand
scarf neck shoe foot
scarf neck hat head
scarf neck crown head
scarf neck necklace neck
scarf neck ring finger
scarf neck bracelet wrist
scarf neck anklet ankle
scarf neck belt waist
:antonyms
light dark hot cold
light dark on off
light dark young old
light dark new old
light dark backward forward
light dark back front
light dark short tall
light dark big small
light dark sharp dull
light dark heavy light
light dark thick thin
light dark deep shallow
light dark skinny fat
light dark weak strong
light dark stupid smart
light dark wet dry
hot cold light dark
hot cold on off
hot cold young old
hot cold new old
hot cold backward forward
hot cold back front
hot cold short tall
hot cold big small
hot cold sharp dull
hot cold heavy light
hot cold thick thin
hot cold deep shallow
hot cold skinny fat
hot cold weak strong
hot cold stupid smart
hot cold wet dry
on off light dark
on off hot cold
on off young old
on off new old
on off backward forward
on off back front
on off short tall
on off big small
on off sharp dull
on off heavy light
on off thick thin
on off deep shallow
on off skinny fat
on off weak strong
on off stupid smart
on off wet dry
young old light dark
young old hot cold
young old on off
young old new old
young old backward forward
young old back front
young old short tall
young old big small
young old sharp dull
young old heavy light
young old thick thin
young old deep shallow
young old skinny fat
young old weak strong
young old stupid smart
young old wet dry
new old light dark
new old hot cold
new old on off
new old young old
new old backward forward
new old back front
new old short tall
new old big small
new old sharp dull
new old heavy light
new old thick thin
new old deep shallow
new old skinny fat
new old weak strong
new old stupid smart
new old wet dry
backward forward light dark
backward forward hot cold
backward forward on off
backward forward young old
backward forward new old
backward forward back front
backward forward short tall
backward forward big small
backward forward sharp dull
backward forward heavy light
backward forward thick thin
backward forward deep shallow
backward forward skinny fat
backward forward weak strong
backward forward stupid smart
backward forward wet dry
back front light dark
back front hot cold
back front on off
back front young old
back front new old
back front backward forward
back front short tall
back front big small
back front sharp dull
back front heavy light
back front thick thin
back front deep shallow
back front skinny fat
back front weak strong
back front stupid smart
back front wet dry
short tall light dark
short tall hot cold
short tall on off
short tall young old
short tall new old
short tall backward forward
short tall back front
short tall big small
short tall sharp dull
short tall heavy light
short tall thick thin
short tall deep shallow
short tall skinny fat
short tall weak strong
short tall stupid smart
short tall wet dry
big small light dark
big small hot cold
big small on off
big small young old
big small new old
big small backward forward
big small back front
big small short tall
big small sharp dull
big small heavy light
big small thick thin
big small deep shallow
big small skinny fat
big small weak strong
big small stupid smart
big small wet dry
sharp dull light dark
sharp dull hot cold
sharp dull on off
sharp dull young old
sharp dull new old
sharp dull backward forward
sharp dull back front
sharp dull short tall
sharp dull big small
sharp dull heavy light
sharp dull thick thin
sharp dull deep shallow
sharp dull skinny fat
sharp dull weak strong
sharp dull stupid smart
sharp dull wet dry
heavy light light dark
heavy light hot cold
heavy light on off
heavy light young old
heavy light new old
heavy light backward forward
heavy light back front
heavy light short tall
heavy light big small
heavy light sharp dull
heavy light thick thin
heavy light deep shallow
heavy light skinny fat
heavy light weak strong
heavy light stupid smart
heavy light wet dry
thick thin light dark
thick thin hot cold
thick thin on off
thick thin young old
thick thin new old
thick thin backward forward
thick thin back front
thick thin short tall
thick thin big small
thick thin sharp dull
thick thin heavy light
thick thin deep shallow
thick thin skinny fat
thick thin weak strong
thick thin stupid smart
thick thin wet dry
deep shallow light dark
deep shallow hot cold
deep shallow on off
deep shallow young old
deep shallow new old
deep shallow backward forward
deep shallow back front
deep shallow short tall
deep shallow big small
deep shallow sharp dull
deep shallow heavy light
deep shallow thick thin
deep shallow skinny fat
deep shallow weak strong
deep shallow stupid smart
deep shallow wet dry
skinny fat light dark
skinny fat hot cold
skinny fat on off
skinny fat young old
skinny fat new old
skinny fat backward forward
skinny fat back front
skinny fat short tall
skinny fat big small
skinny fat sharp dull
skinny fat heavy light
skinny fat thick thin
skinny fat deep shallow
skinny fat weak strong
skinny fat stupid smart
skinny fat wet dry
weak strong light dark
weak strong hot cold
weak strong on off
weak strong young old
weak strong new old
weak strong backward forward
weak strong back front
weak strong short tall
weak strong big small
weak strong sharp dull
weak strong heavy light
weak strong thick thin
weak strong deep shallow
weak strong skinny fat
weak strong stupid smart
weak strong wet dry
stupid smart light dark
stupid smart hot cold
stupid smart on off
stupid smart young old
stupid smart new old
stupid smart backward forward
stupid smart back front
stupid smart short tall
stupid smart big small
stupid smart sharp dull
stupid smart heavy light
stupid smart thick thin
stupid smart deep shallow
stupid smart skinny fat
stupid smart weak strong
stupid smart wet dry
wet dry light dark
wet dry hot cold
wet dry on off
wet dry young old
wet dry new old
wet dry backward forward
wet dry back front
wet dry short tall
wet dry big small
wet dry sharp dull
wet dry heavy light
wet dry thick thin
wet dry deep shallow
wet dry skinny fat
wet dry weak strong
wet dry stupid smart
:limbs
human arm bird wing
human arm dolphin flipper
bird wing human arm
bird wing dolphin flipper
dolphin flipper human arm
dolphin flipper bird wing
:color
banana yellow tomato red
banana yellow blueberry blue
banana yellow snow white
banana yellow soot black
banana yellow strawberry red
banana yellow cherry red
banana yellow lemon yellow
banana yellow lime green
banana yellow sky blue
tomato red banana yellow
tomato red blueberry blue
tomato red snow white
tomato red soot black
tomato red strawberry red
tomato red cherry red
tomato red lemon yellow
tomato red lime green
tomato red sky blue
blueberry blue banana yellow
blueberry blue tomato red
blueberry blue snow white
blueberry blue soot black
blueberry blue strawberry red
blueberry blue cherry red
blueberry blue lemon yellow
blueberry blue lime green
blueberry blue sky blue
snow white banana yellow
snow white tomato red
snow white blueberry blue
snow white soot black
snow white strawberry red
snow white cherry red
snow white lemon yellow
snow white lime green
snow white sky blue
soot black banana yellow
soot black tomato red
soot black blueberry blue
soot black snow white
soot black strawberry red
soot black cherry red
soot black lemon yellow
soot black lime green
soot black sky blue
strawberry red banana yellow
strawberry red tomato red
strawberry red blueberry blue
strawberry red snow white
strawberry red soot black
strawberry red cherry red
strawberry red lemon yellow
strawberry red lime green
strawberry red sky blue
cherry red banana yellow
cherry red tomato red
cherry red blueberry blue
cherry red snow white
cherry red soot black
cherry red strawberry red
cherry red lemon yellow
cherry red lime green
cherry red sky blue
lemon yellow banana yellow
lemon yellow tomato red
lemon yellow blueberry blue
lemon yellow snow white
lemon yellow soot black
lemon yellow strawberry red
lemon yellow cherry red
lemon yellow lime green
lemon yellow sky blue
lime green banana yellow
lime green tomato red
lime green blueberry blue
lime green snow white
lime green soot black
lime green strawberry red
lime green cherry red
lime green lemon yellow
lime green sky blue
sky blue banana yellow
sky blue tomato red
sky blue blueberry blue
sky blue snow white
sky blue soot black
sky blue strawberry red
sky blue cherry red
sky blue lemon yellow
sky blue lime green
:direct objects
book read television watch
book read game play
book read song sing
book read food eat
book read beverage drink
television watch book read
television watch game play
television watch song sing
television watch food eat
television watch beverage drink
game play book read
game play television watch
game play song sing
game play food eat
game play beverage drink
song sing book read
song sing television watch
song sing game play
song sing food eat
song sing beverage drink
food eat book read
food eat television watch
food eat game play
food eat song sing
food eat beverage drink
beverage drink book read
beverage drink television watch
beverage drink game play
beverage drink song sing
beverage drink food eat
:alcohol
wine grapes sake rice
wine grapes cider apples
wine grapes chicha corn
wine grapes beer barley
wine grapes tequila agave
wine grapes rum sugarcane
wine grapes vodka potatoes
sake rice wine grapes
sake rice cider apples
sake rice chicha corn
sake rice beer barley
sake rice tequila agave
sake rice rum sugarcane
sake rice vodka potatoes
cider apples wine grapes
cider apples sake rice
cider apples chicha corn
cider apples beer barley
cider apples tequila agave
cider apples rum sugarcane
cider apples vodka potatoes
chicha corn wine grapes
chicha corn sake rice
chicha corn cider apples
chicha corn beer barley
chicha corn tequila agave
chicha corn rum sugarcane
chicha corn vodka potatoes
beer barley wine grapes
beer barley sake rice
beer barley cider apples
beer barley chicha corn
beer barley tequila agave
beer barley rum sugarcane
beer barley vodka potatoes
tequila agave wine grapes
tequila agave sake rice
tequila agave cider apples
tequila agave chicha corn
tequila agave beer barley
tequila agave rum sugarcane
tequila agave vodka potatoes
rum sugarcane wine grapes
rum sugarcane sake rice
rum sugarcane cider apples
rum sugarcane chicha corn
rum sugarcane beer barley
rum sugarcane tequila agave
rum sugarcane vodka potatoes
vodka potatoes wine grapes
vodka potatoes sake rice
vodka potatoes cider apples
vodka potatoes chicha corn
vodka potatoes beer barley
vodka potatoes tequila agave
vodka potatoes rum sugarcane
:instrument
sweep broom shoot gun
sweep broom stab knife
sweep broom wipe rag
shoot gun sweep broom
shoot gun stab knife
shoot gun wipe rag
stab knife sweep broom
stab knife shoot gun
stab knife wipe rag
wipe rag sweep broom
wipe rag shoot gun
wipe rag stab knife
:degree
warm hot cool cold
warm hot good great
warm hot big huge
warm hot small tiny
cool cold warm hot
cool cold good great
cool cold big huge
cool cold small tiny
good great warm hot
good great cool cold
good great big huge
good great small tiny
big huge warm hot
big huge cool cold
big huge good great
big huge small tiny
small tiny warm hot
small tiny cool cold
small tiny good great
small tiny big huge
:weather phenomenon
wind blow rain fall
wind blow sun shine
wind blow lightning strike
rain fall wind blow
rain fall sun shine
rain fall lightning strike
sun shine wind blow
sun shine rain fall
sun shine lightning strike
lightning strike wind blow
lightning strike rain fall
lightning strike sun shine
