: animal and young
eagle eaglet fly maggot
eagle eaglet frog tadpole
eagle eaglet insect larva
eagle eaglet goose gosling
eagle eaglet horse foal
eagle eaglet kangaroo joey
eagle eaglet owl owlet
eagle eaglet pig piglet
eagle eaglet rabbit bunny
eagle eaglet sheep lamb
eagle eaglet swan cygnet
fish fingerling bear cub
fish fingerling cat kitten
fish fingerling cow calf
fish fingerling chicken chick
fish fingerling deer fawn
fish fingerling dog puppy
fish fingerling duck duckling
fish fingerling eagle eaglet
fish fingerling fly maggot
fish fingerling frog tadpole
fish fingerling insect larva
fish fingerling goose gosling
fish fingerling horse foal
fish fingerling kangaroo joey
fish fingerling owl owlet
fish fingerling pig piglet
fish fingerling rabbit bunny
fish fingerling sheep lamb
fish fingerling swan cygnet
fly maggot bear cub
fly maggot cat kitten
fly maggot cow calf
fly maggot chicken chick
fly maggot deer fawn
fly maggot dog puppy
fly maggot duck duckling
fly maggot eagle eaglet
fly maggot fish fingerling
fly maggot frog tadpole
fly maggot insect larva
fly maggot goose gosling
fly maggot horse foal
fly maggot kangaroo joey
fly maggot owl owlet
fly maggot pig piglet
fly maggot rabbit bunny
fly maggot sheep lamb
fly maggot swan cygnet
frog tadpole bear cub
frog tadpole cat kitten
frog tadpole cow calf
frog tadpole chicken chick
frog tadpole deer fawn
frog tadpole dog puppy
frog tadpole duck duckling
frog tadpole eagle eaglet
frog tadpole fish fingerling
frog tadpole fly maggot
frog tadpole insect larva
frog tadpole goose gosling
frog tadpole horse foal
frog tadpole kangaroo joey
frog tadpole owl owlet
frog tadpole pig piglet
frog tadpole rabbit bunny
frog tadpole sheep lamb
frog tadpole swan cygnet
insect larva bear cub
insect larva cat kitten
insect larva cow calf
insect larva chicken chick
insect larva deer fawn
insect larva dog puppy
insect larva duck duckling
insect larva eagle eaglet
insect larva fish fingerling
insect larva fly maggot
insect larva frog tadpole
insect larva goose gosling
insect larva horse foal
insect larva kangaroo joey
insect larva owl owlet
insect larva pig piglet
insect larva rabbit bunny
insect larva sheep lamb
insect larva swan cygnet
goose gosling bear cub
goose gosling cat kitten
goose gosling cow calf
goose gosling chicken chick
goose gosling deer fawn
goose gosling dog puppy
goose gosling duck duckling
goose gosling eagle eaglet
goose gosling fish fingerling
goose gosling fly maggot
goose gosling frog tadpole
goose gosling insect larva
goose gosling horse foal
goose gosling kangaroo joey
goose gosling owl owlet
goose gosling pig piglet
goose gosling rabbit bunny
goose gosling sheep lamb
goose gosling swan cygnet
horse foal bear cub
horse foal cat kitten
horse foal cow calf
horse foal chicken chick
horse foal deer fawn
horse foal dog puppy
horse foal duck duckling
horse foal eagle eaglet
horse foal fish fingerling
horse foal fly maggot
horse foal frog tadpole
horse foal insect larva
horse foal goose gosling
horse foal kangaroo joey
horse foal owl owlet
horse foal pig piglet
horse foal rabbit bunny
horse foal sheep lamb
horse foal swan cygnet
kangaroo joey bear cub
kangaroo joey cat kitten
kangaroo joey cow calf
kangaroo joey chicken chick
kangaroo joey deer fawn
kangaroo joey dog puppy
kangaroo joey duck duckling
kangaroo joey eagle eaglet
kangaroo joey fish fingerling
kangaroo joey fly maggot
kangaroo joey frog tadpole
kangaroo joey insect larva
kangaroo joey goose gosling
kangaroo joey horse foal
kangaroo joey owl owlet
kangaroo joey pig piglet
kangaroo joey rabbit bunny
kangaroo joey sheep lamb
kangaroo joey swan cygnet
owl owlet bear cub
owl owlet cat kitten
owl owlet cow calf
owl owlet chicken chick
owl owlet deer fawn
owl owlet dog puppy
owl owlet duck duckling
owl owlet eagle eaglet
owl owlet fish fingerling
owl owlet fly maggot
owl owlet frog tadpole
owl owlet insect larva
owl owlet goose gosling
owl owlet horse foal
owl owlet kangaroo joey
owl owlet pig piglet
owl owlet rabbit bunny
owl owlet sheep lamb
owl owlet swan cygnet
pig piglet bear cub
pig piglet cat kitten
pig piglet cow calf
pig piglet chicken chick
pig piglet deer fawn
pig piglet dog puppy
pig piglet duck duckling
pig piglet eagle eaglet
pig piglet fish fingerling
pig piglet fly maggot
pig piglet frog tadpole
pig piglet insect larva
pig piglet goose gosling
pig piglet horse foal
pig piglet kangaroo joey
pig piglet owl owlet
pig piglet rabbit bunny
pig piglet sheep lamb
pig piglet swan cygnet
rabbit bunny bear cub
rabbit bunny cat kitten
rabbit bunny cow calf
rabbit bunny chicken chick
rabbit bunny deer fawn
rabbit bunny dog puppy
rabbit bunny duck duckling
rabbit bunny eagle eaglet
rabbit bunny fish fingerling
rabbit bunny fly maggot
rabbit bunny frog tadpole
rabbit bunny insect larva
rabbit bunny goose gosling
rabbit bunny horse foal
rabbit bunny kangaroo joey
rabbit bunny owl owlet
rabbit bunny pig piglet
rabbit bunny sheep lamb
rabbit bunny swan cygnet
sheep lamb bear cub
sheep lamb cat kitten
sheep lamb cow calf
sheep lamb chicken chick
sheep lamb deer fawn
sheep lamb dog puppy
sheep lamb duck duckling
sheep lamb eagle eaglet
sheep lamb fish fingerling
sheep lamb fly maggot
sheep lamb frog tadpole
sheep lamb insect larva
sheep lamb goose gosling
sheep lamb horse foal
sheep lamb kangaroo joey
sheep lamb owl owlet
sheep lamb pig piglet
sheep lamb rabbit bunny
sheep lamb swan cygnet
swan cygnet bear cub
swan cygnet cat kitten
swan cygnet cow calf
swan cygnet chicken chick
swan cygnet deer fawn
swan cygnet dog puppy
swan cygnet duck duckling
swan cygnet eagle eaglet
swan cygnet fish fingerling
swan cygnet fly maggot
swan cygnet frog tadpole
swan cygnet insect larva
swan cygnet goose gosling
swan cygnet horse foal
swan cygnet kangaroo joey
swan cygnet owl owlet
swan cygnet pig piglet
swan cygnet rabbit bunny
swan cygnet sheep lamb

: kin relations
father son mother daughter
father son aunt niece
father son uncle nephew
father son grandfather grandson
father son grandmother granddaughter
father son godmother goddaughter
father son godfather godson
mother daughter father son
mother daughter aunt niece
mother daughter uncle nephew
mother daughter grandfather grandson
mother daughter grandmother granddaughter
mother daughter godmother goddaughter
mother daughter godfather godson
aunt niece father son
aunt niece mother daughter
aunt niece uncle nephew
aunt niece grandfather grandson
aunt niece grandmother granddaughter
aunt niece godmother goddaughter
aunt niece godfather godson
uncle nephew father son
uncle nephew mother daughter
uncle nephew aunt niece
uncle nephew grandfather grandson
uncle nephew grandmother granddaughter
uncle nephew godmother goddaughter
uncle nephew godfather godson
grandfather grandson father son
grandfather grandson mother daughter
grandfather grandson aunt niece
grandfather grandson uncle nephew
grandfather grandson grandmother granddaughter
grandfather grandson godmother goddaughter
grandfather grandson godfather godson
grandmother granddaughter father son
grandmother granddaughter mother daughter
grandmother granddaughter aunt niece
grandmother granddaughter uncle nephew
grandmother granddaughter grandfather grandson
grandmother granddaughter godmother goddaughter
grandmother granddaughter godfather godson
godmother goddaughter father son
godmother goddaughter mother daughter
godmother goddaughter aunt niece
godmother goddaughter uncle nephew
godmother goddaughter grandfather grandson
godmother goddaughter grandmother granddaughter
godmother goddaughter godfather godson
godfather godson father son
godfather godson mother daughter
godfather godson aunt niece
godfather godson uncle nephew
godfather godson grandfather grandson
godfather godson grandmother granddaughter
godfather godson godmother goddaughter

: holiday_in_month
valentine february patrick march
valentine february easter april
valentine february memorial may
valentine february father june
valentine february independence july
valentine february labor september
valentine february halloween october
valentine february thanksgiving november
valentine february christmas december
patrick march valentine february
patrick march easter april
patrick march memorial may
patrick march father june
patrick march independence july
patrick march labor september
patrick march halloween october
patrick march thanksgiving november
patrick march christmas december
easter april valentine february
easter april patrick march
easter april memorial may
easter april father june
easter april independence july
easter april labor september
easter april halloween october
easter april thanksgiving november
easter april christmas december
memorial may valentine february
memorial may patrick march
memorial may easter april
memorial may father june
memorial may independence july
memorial may labor september
memorial may halloween october
memorial may thanksgiving november
memorial may christmas december
father june valentine february
father june patrick march
father june easter april
father june memorial may
father june independence july
father june labor september
father june halloween october
father june thanksgiving november
father june christmas december
independence july valentine february
independence july patrick march
independence july easter april
independence july memorial may
independence july father june
independence july labor september
independence july halloween october
independence july thanksgiving november
independence july christmas december
labor september valentine february
labor september patrick march
labor september easter april
labor september memorial may
labor september father june
labor september independence july
labor september halloween october
labor september thanksgiving november
labor september christmas december
halloween october valentine february
halloween october patrick march
halloween october easter april
halloween october memorial may
halloween october father june
halloween october independence july
halloween october labor september
halloween october thanksgiving november
halloween october christmas december
thanksgiving november valentine february
thanksgiving november patrick march
thanksgiving november easter april
thanksgiving november memorial may
thanksgiving november father june
thanksgiving november independence july
thanksgiving november labor september
thanksgiving november halloween october
thanksgiving november christmas december
christmas december valentine february
christmas december patrick march
christmas december easter april
christmas december memorial may
christmas december father june
christmas december independence july
christmas december labor september
christmas december halloween october
christmas december thanksgiving november

: goes on
glove hand shoe foot
glove hand hat head
glove hand crown head
glove hand necklace neck
glove hand earring ear
glove hand ring finger
glove hand bracelet wrist
glove hand anklet ankle
glove hand belt waist
glove hand scarf neck
shoe foot glove hand
shoe foot hat head
shoe foot crown head
shoe foot necklace neck
shoe foot earring ear
shoe foot ring finger
shoe foot bracelet wrist
shoe foot anklet ankle
shoe foot belt waist
shoe foot scarf neck
hat head glove hand
hat head shoe foot
hat head necklace neck
hat head earring ear
hat head ring finger
hat head bracelet wrist
hat head anklet ankle
hat head belt waist
hat head scarf neck
crown head glove hand
crown head shoe foot
crown head necklace neck
crown head earring ear
crown head ring finger
crown head bracelet wrist
crown head anklet ankle
crown head belt waist
crown head scarf neck
necklace neck glove hand
necklace neck shoe foot
necklace neck hat head
necklace neck crown head
necklace neck earring ear
necklace neck ring finger
necklace neck bracelet wrist
necklace neck anklet ankle
necklace neck belt waist
earring ear glove hand
earring ear shoe foot
earring ear hat head
earring ear crown head
earring ear necklace neck
earring ear ring finger
earring ear bracelet wrist
earring ear anklet ankle
earring ear belt waist
earring ear scarf neck
ring finger glove hand
ring finger shoe foot
ring finger hat head
ring finger crown head
ring finger necklace neck
ring finger earring ear
ring finger bracelet wrist
ring finger anklet ankle
ring finger belt waist
ring finger scarf neck
bracelet wrist glove hand
bracelet wrist shoe foot
bracelet wrist hat head
bracelet wrist crown head
bracelet wrist necklace neck
bracelet wrist earring ear
bracelet wrist ring finger
bracelet wrist anklet ankle
bracelet wrist belt waist
bracelet wrist scarf neck
anklet ankle glove hand
anklet ankle shoe foot
anklet ankle hat head
anklet ankle crown head
anklet ankle necklace neck
anklet ankle earring ear
anklet ankle ring finger
anklet ankle bracelet wrist
anklet ankle belt waist
anklet ankle scarf neck
belt waist glove hand
belt waist shoe foot
belt waist hat head
belt waist crown head
belt waist necklace neck
belt waist earring ear
belt waist ring finger
belt waist bracelet wrist
belt waist anklet ankle
belt waist scarf neck
scarf neck glove hand
scarf neck shoe foot
scarf neck hat head
scarf neck crown head
scarf neck earring ear
scarf neck ring finger
scarf neck bracelet wrist
scarf neck anklet ankle
scarf neck belt waist

: has_front_limb
human arm bird wing
human arm dolphin flipper
human arm fish fin
human arm lobster pincer
bird wing human arm
bird wing dolphin flipper
bird wing fish fin
bird wing lobster pincer
dolphin flipper human arm
dolphin flipper bird wing
dolphin flipper fish fin
dolphin flipper lobster pincer
fish fin human arm
fish fin bird wing
fish fin dolphin flipper
fish fin lobster pincer
lobster pincer human arm
lobster pincer bird wing
lobster pincer dolphin flipper
lobster pincer fish fin

: has_class_term
paper sheet bread loaf
paper sheet corn ear
paper sheet grass blade
paper sheet sand grain
paper sheet lettuce head
paper sheet hay bale
paper sheet bacon strip
paper sheet clothing article
paper sheet garlic clove
bread loaf paper sheet
bread loaf corn ear
bread loaf grass blade
bread loaf sand grain
bread loaf lettuce head
bread loaf hay bale
bread loaf bacon strip
bread loaf clothing article
bread loaf garlic clove
corn ear paper sheet
corn ear bread loaf
corn ear grass blade
corn ear sand grain
corn ear lettuce head
corn ear hay bale
corn ear bacon strip
corn ear clothing article
corn ear garlic clove
grass blade paper sheet
grass blade bread loaf
grass blade corn ear
grass blade sand grain
grass blade lettuce head
grass blade hay bale
grass blade bacon strip
grass blade clothing article
grass blade garlic clove
sand grain paper sheet
sand grain bread loaf
sand grain corn ear
sand grain grass blade
sand grain lettuce head
sand grain hay bale
sand grain bacon strip
sand grain clothing article
sand grain garlic clove
lettuce head paper sheet
lettuce head bread loaf
lettuce head corn ear
lettuce head grass blade
lettuce head sand grain
lettuce head hay bale
lettuce head bacon strip
lettuce head clothing article
lettuce head garlic clove
hay bale paper sheet
hay bale bread loaf
hay bale corn ear
hay bale grass blade
hay bale sand grain
hay bale lettuce head
hay bale bacon strip
hay bale clothing article
hay bale garlic clove
bacon strip paper sheet
bacon strip bread loaf
bacon strip corn ear
bacon strip grass blade
bacon strip sand grain
bacon strip lettuce head
bacon strip hay bale
bacon strip clothing article
bacon strip garlic clove
clothing article paper sheet
clothing article bread loaf
clothing article corn ear
clothing article grass blade
clothing article sand grain
clothing article lettuce head
clothing article hay bale
clothing article bacon strip
clothing article garlic clove
garlic clove paper sheet
garlic clove bread loaf
garlic clove corn ear
garlic clove grass blade
garlic clove sand grain
garlic clove lettuce head
garlic clove hay bale
garlic clove bacon strip
garlic clove clothing article

: has_particle
corn kernel sand grain
corn kernel rice grain
corn kernel water drop
corn kernel dust mote
corn kernel gravel pebble
sand grain corn kernel
sand grain water drop
sand grain dust mote
sand grain gravel pebble
rice grain corn kernel
rice grain water drop
rice grain dust mote
rice grain gravel pebble
water drop corn kernel
water drop sand grain
water drop rice grain
water drop dust mote
water drop gravel pebble
dust mote corn kernel
dust mote sand grain
dust mote rice grain
dust mote water drop
dust mote gravel pebble
gravel pebble corn kernel
gravel pebble sand grain
gravel pebble rice grain
gravel pebble water drop
gravel pebble dust mote

: is_something_you
book read television watch
book read game play
book read song sing
book read food eat
book read beverage drink
book read car drive
book read bicycle ride
book read job work
book read lesson learn
television watch book read
television watch game play
television watch song sing
television watch food eat
television watch beverage drink
television watch car drive
television watch bicycle ride
television watch job work
television watch lesson learn
game play book read
game play television watch
game play song sing
game play food eat
game play beverage drink
game play car drive
game play bicycle ride
game play job work
game play lesson learn
song sing book read
song sing television watch
song sing game play
song sing food eat
song sing beverage drink
song sing car drive
song sing bicycle ride
song sing job work
song sing lesson learn
food eat book read
food eat television watch
food eat game play
food eat song sing
food eat beverage drink
food eat car drive
food eat bicycle ride
food eat job work
food eat lesson learn
beverage drink book read
beverage drink television watch
beverage drink game play
beverage drink song sing
beverage drink food eat
beverage drink car drive
beverage drink bicycle ride
beverage drink job work
beverage drink lesson learn
car drive book read
car drive television watch
car drive game play
car drive song sing
car drive food eat
car drive beverage drink
car drive bicycle ride
car drive job work
car drive lesson learn
bicycle ride book read
bicycle ride television watch
bicycle ride game play
bicycle ride song sing
bicycle ride food eat
bicycle ride beverage drink
bicycle ride car drive
bicycle ride job work
bicycle ride lesson learn
job work book read
job work television watch
job work game play
job work song sing
job work food eat
job work beverage drink
job work car drive
job work bicycle ride
job work lesson learn
lesson learn book read
lesson learn television watch
lesson learn game play
lesson learn song sing
lesson learn food eat
lesson learn beverage drink
lesson learn car drive
lesson learn bicycle ride
lesson learn job work

: alcohol_made_from
wine grapes sake rice
wine grapes cider apples
wine grapes chicha corn
wine grapes beer barley
wine grapes tequila agave
wine grapes rum sugarcane
wine grapes vodka potatoes
wine grapes moonshine corn
sake rice wine grapes
sake rice cider apples
sake rice chicha corn
sake rice beer barley
sake rice tequila agave
sake rice rum sugarcane
sake rice vodka potatoes
sake rice moonshine corn
cider apples wine grapes
cider apples sake rice
cider apples chicha corn
cider apples beer barley
cider apples tequila agave
cider apples rum sugarcane
cider apples vodka potatoes
cider apples moonshine corn
chicha corn wine grapes
chicha corn sake rice
chicha corn cider apples
chicha corn beer barley
chicha corn tequila agave
chicha corn rum sugarcane
chicha corn vodka potatoes
beer barley wine grapes
beer barley sake rice
beer barley cider apples
beer barley chicha corn
beer barley tequila agave
beer barley rum sugarcane
beer barley vodka potatoes
beer barley moonshine corn
tequila agave wine grapes
tequila agave sake rice
tequila agave cider apples
tequila agave chicha corn
tequila agave beer barley
tequila agave rum sugarcane
tequila agave vodka potatoes
tequila agave moonshine corn
rum sugarcane wine grapes
rum sugarcane sake rice
rum sugarcane cider apples
rum sugarcane chicha corn
rum sugarcane beer barley
rum sugarcane tequila agave
rum sugarcane vodka potatoes
rum sugarcane moonshine corn
vodka potatoes wine grapes
vodka potatoes sake rice
vodka potatoes cider apples
vodka potatoes chicha corn
vodka potatoes beer barley
vodka potatoes tequila agave
vodka potatoes rum sugarcane
vodka potatoes moonshine corn
moonshine corn wine grapes
moonshine corn sake rice
moonshine corn cider apples
moonshine corn beer barley
moonshine corn tequila agave
moonshine corn rum sugarcane
moonshine corn vodka potatoes

: is_used_to
broom sweep gun shoot
broom sweep dagger stab
broom sweep rag wipe
broom sweep shovel dig
broom sweep pen write
broom sweep scissors cut
broom sweep corkscrew uncork
broom sweep needle sew
broom sweep chair sit
broom sweep bed sleep
gun shoot broom sweep
gun shoot dagger stab
gun shoot rag wipe
gun shoot shovel dig
gun shoot pen write
gun shoot scissors cut
gun shoot corkscrew uncork
gun shoot needle sew
gun shoot chair sit
gun shoot bed sleep
dagger stab broom sweep
dagger stab gun shoot
dagger stab rag wipe
dagger stab shovel dig
dagger stab pen write
dagger stab scissors cut
dagger stab corkscrew uncork
dagger stab needle sew
dagger stab chair sit
dagger stab bed sleep
rag wipe broom sweep
rag wipe gun shoot
rag wipe dagger stab
rag wipe shovel dig
rag wipe pen write
rag wipe scissors cut
rag wipe corkscrew uncork
rag wipe needle sew
rag wipe chair sit
rag wipe bed sleep
shovel dig broom sweep
shovel dig gun shoot
shovel dig dagger stab
shovel dig rag wipe
shovel dig pen write
shovel dig scissors cut
shovel dig corkscrew uncork
shovel dig needle sew
shovel dig chair sit
shovel dig bed sleep
pen write broom sweep
pen write gun shoot
pen write dagger stab
pen write rag wipe
pen write shovel dig
pen write scissors cut
pen write corkscrew uncork
pen write needle sew
pen write chair sit
pen write bed sleep
scissors cut broom sweep
scissors cut gun shoot
scissors cut dagger stab
scissors cut rag wipe
scissors cut shovel dig
scissors cut pen write
scissors cut corkscrew uncork
scissors cut needle sew
scissors cut chair sit
scissors cut bed sleep
corkscrew uncork broom sweep
corkscrew uncork gun shoot
corkscrew uncork dagger stab
corkscrew uncork rag wipe
corkscrew uncork shovel dig
corkscrew uncork pen write
corkscrew uncork scissors cut
corkscrew uncork needle sew
corkscrew uncork chair sit
corkscrew uncork bed sleep
needle sew broom sweep
needle sew gun shoot
needle sew dagger stab
needle sew rag wipe
needle sew shovel dig
needle sew pen write
needle sew scissors cut
needle sew corkscrew uncork
needle sew chair sit
needle sew bed sleep
chair sit broom sweep
chair sit gun shoot
chair sit dagger stab
chair sit rag wipe
chair sit shovel dig
chair sit pen write
chair sit scissors cut
chair sit corkscrew uncork
chair sit needle sew
chair sit bed sleep
bed sleep broom sweep
bed sleep gun shoot
bed sleep dagger stab
bed sleep rag wipe
bed sleep shovel dig
bed sleep pen write
bed sleep scissors cut
bed sleep corkscrew uncork
bed sleep needle sew
bed sleep chair sit

: relational_antonyms
own belong win lose
own belong toward away
own belong above below
own belong employer employee
own belong parent child
own belong teach learn
own belong teacher student
own belong buy sell
own belong buyer seller
own belong east west
own belong husband wife
own belong predator prey
own belong lend borrow
own belong offense defense
own belong slave master
own belong doctor patient
own belong give receive
win lose own belong
win lose toward away
win lose above below
win lose employer employee
win lose parent child
win lose teach learn
win lose teacher student
win lose buy sell
win lose buyer seller
win lose east west
win lose husband wife
win lose predator prey
win lose lend borrow
win lose offense defense
win lose slave master
win lose doctor patient
win lose give receive
toward away own belong
toward away win lose
toward away above below
toward away employer employee
toward away parent child
toward away teach learn
toward away teacher student
toward away buy sell
toward away buyer seller
toward away east west
toward away husband wife
toward away predator prey
toward away lend borrow
toward away offense defense
toward away slave master
toward away doctor patient
toward away give receive
above below own belong
above below win lose
above below toward away
above below employer employee
above below parent child
above below teach learn
above below teacher student
above below buy sell
above below buyer seller
above below east west
above below husband wife
above below predator prey
above below lend borrow
above below offense defense
above below slave master
above below doctor patient
above below give receive
employer employee own belong
employer employee win lose
employer employee toward away
employer employee above below
employer employee parent child
employer employee teach learn
employer employee teacher student
employer employee buy sell
employer employee buyer seller
employer employee east west
employer employee husband wife
employer employee predator prey
employer employee lend borrow
employer employee offense defense
employer employee slave master
employer employee doctor patient
employer employee give receive
parent child own belong
parent child win lose
parent child toward away
parent child above below
parent child employer employee
parent child teach learn
parent child teacher student
parent child buy sell
parent child buyer seller
parent child east west
parent child husband wife
parent child predator prey
parent child lend borrow
parent child offense defense
parent child slave master
parent child doctor patient
parent child give receive
teach learn own belong
teach learn win lose
teach learn toward away
teach learn above below
teach learn employer employee
teach learn parent child
teach learn teacher student
teach learn buy sell
teach learn buyer seller
teach learn east west
teach learn husband wife
teach learn predator prey
teach learn lend borrow
teach learn offense defense
teach learn slave master
teach learn doctor patient
teach learn give receive
teacher student own belong
teacher student win lose
teacher student toward away
teacher student above below
teacher student employer employee
teacher student parent child
teacher student teach learn
teacher student buy sell
teacher student buyer seller
teacher student east west
teacher student husband wife
teacher student predator prey
teacher student lend borrow
teacher student offense defense
teacher student slave master
teacher student doctor patient
teacher student give receive
buy sell own belong
buy sell win lose
buy sell toward away
buy sell above below
buy sell employer employee
buy sell parent child
buy sell teach learn
buy sell teacher student
buy sell buyer seller
buy sell east west
buy sell husband wife
buy sell predator prey
buy sell lend borrow
buy sell offense defense
buy sell slave master
buy sell doctor patient
buy sell give receive
buyer seller own belong
buyer seller win lose
buyer seller toward away
buyer seller above below
buyer seller employer employee
buyer seller parent child
buyer seller teach learn
buyer seller teacher student
buyer seller buy sell
buyer seller east west
buyer seller husband wife
buyer seller predator prey
buyer seller lend borrow
buyer seller offense defense
buyer seller slave master
buyer seller doctor patient
buyer seller give receive
east west own belong
east west win lose
east west toward away
east west above below
east west employer employee
east west parent child
east west teach learn
east west teacher student
east west buy sell
east west buyer seller
east west husband wife
east west predator prey
east west lend borrow
east west offense defense
east west slave master
east west doctor patient
east west give receive
husband wife own belong
husband wife win lose
husband wife toward away
husband wife above below
husband wife employer employee
husband wife parent child
husband wife teach learn
husband wife teacher student
husband wife buy sell
husband wife buyer seller
husband wife east west
husband wife predator prey
husband wife lend borrow
husband wife offense defense
husband wife slave master
husband wife doctor patient
husband wife give receive
predator prey own belong
predator prey win lose
predator prey toward away
predator prey above below
predator prey employer employee
predator prey parent child
predator prey teach learn
predator prey teacher student
predator prey buy sell
predator prey buyer seller
predator prey east west
predator prey husband wife
predator prey lend borrow
predator prey offense defense
predator prey slave master
predator prey doctor patient
predator prey give receive
lend borrow own belong
lend borrow win lose
lend borrow toward away
lend borrow above below
lend borrow employer employee
lend borrow parent child
lend borrow teach learn
lend borrow teacher student
lend borrow buy sell
lend borrow buyer seller
lend borrow east west
lend borrow husband wife
lend borrow predator prey
lend borrow offense defense
lend borrow slave master
lend borrow doctor patient
lend borrow give receive
offense defense own belong
offense defense win lose
offense defense toward away
offense defense above below
offense defense employer employee
offense defense parent child
offense defense teach learn
offense defense teacher student
offense defense buy sell
offense defense buyer seller
offense defense east west
offense defense husband wife
offense defense predator prey
offense defense lend borrow
offense defense slave master
offense defense doctor patient
offense defense give receive
slave master own belong
slave master win lose
slave master toward away
slave master above below
slave master employer employee
slave master parent child
slave master teach learn
slave master teacher student
slave master buy sell
slave master buyer seller
slave master east west
slave master husband wife
slave master predator prey
slave master lend borrow
slave master offense defense
slave master doctor patient
slave master give receive
doctor patient own belong
doctor patient win lose
doctor patient toward away
doctor patient above below
doctor patient employer employee
doctor patient parent child
doctor patient teach learn
doctor patient teacher student
doctor patient buy sell
doctor patient buyer seller
doctor patient east west
doctor patient husband wife
doctor patient predator prey
doctor patient lend borrow
doctor patient offense defense
doctor patient slave master
doctor patient give receive
give receive own belong
give receive win lose
give receive toward away
give receive above below
give receive employer employee
give receive parent child
give receive teach learn
give receive teacher student
give receive buy sell
give receive buyer seller
give receive east west
give receive husband wife
give receive predator prey
give receive lend borrow
give receive offense defense
give receive slave master
give receive doctor patient

