: animal and young
kangaroo duckling goose tadpole
kangaroo duckling horse joey
kangaroo duckling owl lamb
kangaroo duckling pig gosling
kangaroo duckling rabbit cygnet
kangaroo duckling sheep cub
kangaroo duckling swan kitten
owl lamb bear maggot
owl lamb cat chick
owl lamb cow fawn
owl lamb chicken owlet
owl lamb deer fingerling
owl lamb dog eaglet
owl lamb duck foal
owl lamb eagle bunny
owl lamb fish puppy
owl lamb fly piglet
owl lamb frog larva
owl lamb insect calf
owl lamb goose tadpole
owl lamb horse joey
owl lamb kangaroo duckling
owl lamb pig gosling
owl lamb rabbit cygnet
owl lamb sheep cub
owl lamb swan kitten
pig gosling bear maggot
pig gosling cat chick
pig gosling cow fawn
pig gosling chicken owlet
pig gosling deer fingerling
pig gosling dog eaglet
pig gosling duck foal
pig gosling eagle bunny
pig gosling fish puppy
pig gosling fly piglet
pig gosling frog larva
pig gosling insect calf
pig gosling goose tadpole
pig gosling horse joey
pig gosling kangaroo duckling
pig gosling owl lamb
pig gosling rabbit cygnet
pig gosling sheep cub
pig gosling swan kitten
rabbit cygnet bear maggot
rabbit cygnet cat chick
rabbit cygnet cow fawn
rabbit cygnet chicken owlet
rabbit cygnet deer fingerling
rabbit cygnet dog eaglet
rabbit cygnet duck foal
rabbit cygnet eagle bunny
rabbit cygnet fish puppy
rabbit cygnet fly piglet
rabbit cygnet frog larva
rabbit cygnet insect calf
rabbit cygnet goose tadpole
rabbit cygnet horse joey
rabbit cygnet kangaroo duckling
rabbit cygnet owl lamb
rabbit cygnet pig gosling
rabbit cygnet sheep cub
rabbit cygnet swan kitten
sheep cub bear maggot
sheep cub cat chick
sheep cub cow fawn
sheep cub chicken owlet
sheep cub deer fingerling
sheep cub dog eaglet
sheep cub duck foal
sheep cub eagle bunny
sheep cub fish puppy
sheep cub fly piglet
sheep cub frog larva
sheep cub insect calf
sheep cub goose tadpole
sheep cub horse joey
sheep cub kangaroo duckling
sheep cub owl lamb
sheep cub pig gosling
sheep cub rabbit cygnet
sheep cub swan kitten
swan kitten bear maggot
swan kitten cat chick
swan kitten cow fawn
swan kitten chicken owlet
swan kitten deer fingerling
swan kitten dog eaglet
swan kitten duck foal
swan kitten eagle bunny
swan kitten fish puppy
swan kitten fly piglet
swan kitten frog larva
swan kitten insect calf
swan kitten goose tadpole
swan kitten horse joey
swan kitten kangaroo duckling
swan kitten owl lamb
swan kitten pig gosling
swan kitten rabbit cygnet
swan kitten sheep cub

: kin relations
father granddaughter mother son
father granddaughter aunt godson
father granddaughter uncle niece
father granddaughter grandfather grandson
father granddaughter grandmother nephew
father granddaughter godmother goddaughter
father granddaughter godfather daughter
mother son father granddaughter
mother son aunt godson
mother son uncle niece
mother son grandfather grandson
mother son grandmother nephew
mother son godmother goddaughter
mother son godfather daughter
aunt godson father granddaughter
aunt godson mother son
aunt godson uncle niece
aunt godson grandfather grandson
aunt godson grandmother nephew
aunt godson godmother goddaughter
aunt godson godfather daughter
uncle niece father granddaughter
uncle niece mother son
uncle niece aunt godson
uncle niece grandfather grandson
uncle niece grandmother nephew
uncle niece godmother goddaughter
uncle niece godfather daughter
grandfather grandson father granddaughter
grandfather grandson mother son
grandfather grandson aunt godson
grandfather grandson uncle niece
grandfather grandson grandmother nephew
grandfather grandson godmother goddaughter
grandfather grandson godfather daughter
grandmother nephew father granddaughter
grandmother nephew mother son
grandmother nephew aunt godson
grandmother nephew uncle niece
grandmother nephew grandfather grandson
grandmother nephew godmother goddaughter
grandmother nephew godfather daughter
godmother goddaughter father granddaughter
godmother goddaughter mother son
godmother goddaughter aunt godson
godmother goddaughter uncle niece
godmother goddaughter grandfather grandson
godmother goddaughter grandmother nephew
godmother goddaughter godfather daughter
godfather daughter father granddaughter
godfather daughter mother son
godfather daughter aunt godson
godfather daughter uncle niece
godfather daughter grandfather grandson
godfather daughter grandmother nephew
godfather daughter godmother goddaughter

: holiday_in_month
valentine april patrick february
valentine april easter september
valentine april memorial june
valentine april father december
valentine april independence july
valentine april labor november
valentine april halloween october
valentine april thanksgiving march
valentine april christmas may
patrick february valentine april
patrick february easter september
patrick february memorial june
patrick february father december
patrick february independence july
patrick february labor november
patrick february halloween october
patrick february thanksgiving march
patrick february christmas may
easter september valentine april
easter september patrick february
easter september memorial june
easter september father december
easter september independence july
easter september labor november
easter september halloween october
easter september thanksgiving march
easter september christmas may
memorial june valentine april
memorial june patrick february
memorial june easter september
memorial june father december
memorial june independence july
memorial june labor november
memorial june halloween october
memorial june thanksgiving march
memorial june christmas may
father december valentine april
father december patrick february
father december easter september
father december memorial june
father december independence july
father december labor november
father december halloween october
father december thanksgiving march
father december christmas may
independence july valentine april
independence july patrick february
independence july easter september
independence july memorial june
independence july father december
independence july labor november
independence july halloween october
independence july thanksgiving march
independence july christmas may
labor november valentine april
labor november patrick february
labor november easter september
labor november memorial june
labor november father december
labor november independence july
labor november halloween october
labor november thanksgiving march
labor november christmas may
halloween october valentine april
halloween october patrick february
halloween october easter september
halloween october memorial june
halloween october father december
halloween october independence july
halloween october labor november
halloween october thanksgiving march
halloween october christmas may
thanksgiving march valentine april
thanksgiving march patrick february
thanksgiving march easter september
thanksgiving march memorial june
thanksgiving march father december
thanksgiving march independence july
thanksgiving march labor november
thanksgiving march halloween october
thanksgiving march christmas may
christmas may valentine april
christmas may patrick february
christmas may easter september
christmas may memorial june
christmas may father december
christmas may independence july
christmas may labor november
christmas may halloween october
christmas may thanksgiving march

: goes on
glove hand shoe wrist
glove hand hat waist
glove hand crown neck
glove hand necklace head
glove hand earring foot
glove hand ring neck
glove hand bracelet ear
glove hand anklet finger
glove hand belt head
glove hand scarf ankle
shoe wrist glove hand
shoe wrist hat waist
shoe wrist crown neck
shoe wrist necklace head
shoe wrist earring foot
shoe wrist ring neck
shoe wrist bracelet ear
shoe wrist anklet finger
shoe wrist belt head
shoe wrist scarf ankle
hat waist glove hand
hat waist shoe wrist
hat waist crown neck
hat waist necklace head
hat waist earring foot
hat waist ring neck
hat waist bracelet ear
hat waist anklet finger
hat waist belt head
hat waist scarf ankle
crown neck glove hand
crown neck shoe wrist
crown neck hat waist
crown neck necklace head
crown neck earring foot
crown neck bracelet ear
crown neck anklet finger
crown neck belt head
crown neck scarf ankle
necklace head glove hand
necklace head shoe wrist
necklace head hat waist
necklace head crown neck
necklace head earring foot
necklace head ring neck
necklace head bracelet ear
necklace head anklet finger
necklace head scarf ankle
earring foot glove hand
earring foot shoe wrist
earring foot hat waist
earring foot crown neck
earring foot necklace head
earring foot ring neck
earring foot bracelet ear
earring foot anklet finger
earring foot belt head
earring foot scarf ankle
ring neck glove hand
ring neck shoe wrist
ring neck hat waist
ring neck necklace head
ring neck earring foot
ring neck bracelet ear
ring neck anklet finger
ring neck belt head
ring neck scarf ankle
bracelet ear glove hand
bracelet ear shoe wrist
bracelet ear hat waist
bracelet ear crown neck
bracelet ear necklace head
bracelet ear earring foot
bracelet ear ring neck
bracelet ear anklet finger
bracelet ear belt head
bracelet ear scarf ankle
anklet finger glove hand
anklet finger shoe wrist
anklet finger hat waist
anklet finger crown neck
anklet finger necklace head
anklet finger earring foot
anklet finger ring neck
anklet finger bracelet ear
anklet finger belt head
anklet finger scarf ankle
belt head glove hand
belt head shoe wrist
belt head hat waist
belt head crown neck
belt head earring foot
belt head ring neck
belt head bracelet ear
belt head anklet finger
belt head scarf ankle
scarf ankle glove hand
scarf ankle shoe wrist
scarf ankle hat waist
scarf ankle crown neck
scarf ankle necklace head
scarf ankle earring foot
scarf ankle ring neck
scarf ankle bracelet ear
scarf ankle anklet finger
scarf ankle belt head

: has_front_limb
human arm bird flipper
human arm dolphin wing
human arm fish pincer
human arm lobster fin
bird flipper human arm
bird flipper dolphin wing
bird flipper fish pincer
bird flipper lobster fin
dolphin wing human arm
dolphin wing bird flipper
dolphin wing fish pincer
dolphin wing lobster fin
fish pincer human arm
fish pincer bird flipper
fish pincer dolphin wing
fish pincer lobster fin
lobster fin human arm
lobster fin bird flipper
lobster fin dolphin wing
lobster fin fish pincer

: has_class_term
paper grain bread head
paper grain corn ear
paper grain grass strip
paper grain sand blade
paper grain lettuce loaf
paper grain hay clove
paper grain bacon article
paper grain clothing bale
paper grain garlic sheet
bread head paper grain
bread head corn ear
bread head grass strip
bread head sand blade
bread head lettuce loaf
bread head hay clove
bread head bacon article
bread head clothing bale
bread head garlic sheet
corn ear paper grain
corn ear bread head
corn ear grass strip
corn ear sand blade
corn ear lettuce loaf
corn ear hay clove
corn ear bacon article
corn ear clothing bale
corn ear garlic sheet
grass strip paper grain
grass strip bread head
grass strip corn ear
grass strip sand blade
grass strip lettuce loaf
grass strip hay clove
grass strip bacon article
grass strip clothing bale
grass strip garlic sheet
sand blade paper grain
sand blade bread head
sand blade corn ear
sand blade grass strip
sand blade lettuce loaf
sand blade hay clove
sand blade bacon article
sand blade clothing bale
sand blade garlic sheet
lettuce loaf paper grain
lettuce loaf bread head
lettuce loaf corn ear
lettuce loaf grass strip
lettuce loaf sand blade
lettuce loaf hay clove
lettuce loaf bacon article
lettuce loaf clothing bale
lettuce loaf garlic sheet
hay clove paper grain
hay clove bread head
hay clove corn ear
hay clove grass strip
hay clove sand blade
hay clove lettuce loaf
hay clove bacon article
hay clove clothing bale
hay clove garlic sheet
bacon article paper grain
bacon article bread head
bacon article corn ear
bacon article grass strip
bacon article sand blade
bacon article lettuce loaf
bacon article hay clove
bacon article clothing bale
bacon article garlic sheet
clothing bale paper grain
clothing bale bread head
clothing bale corn ear
clothing bale grass strip
clothing bale sand blade
clothing bale lettuce loaf
clothing bale hay clove
clothing bale bacon article
clothing bale garlic sheet
garlic sheet paper grain
garlic sheet bread head
garlic sheet corn ear
garlic sheet grass strip
garlic sheet sand blade
garlic sheet lettuce loaf
garlic sheet hay clove
garlic sheet bacon article
garlic sheet clothing bale

: has_particle
corn drop sand grain
corn drop rice mote
corn drop water pebble
corn drop dust kernel
corn drop gravel grain
sand grain corn drop
sand grain rice mote
sand grain water pebble
sand grain dust kernel
rice mote corn drop
rice mote sand grain
rice mote water pebble
rice mote dust kernel
rice mote gravel grain
water pebble corn drop
water pebble sand grain
water pebble rice mote
water pebble dust kernel
water pebble gravel grain
dust kernel corn drop
dust kernel sand grain
dust kernel rice mote
dust kernel water pebble
dust kernel gravel grain
gravel grain corn drop
gravel grain rice mote
gravel grain water pebble
gravel grain dust kernel

: is_something_you
book work television play
book work game read
book work song drink
book work food eat
book work beverage sing
book work car ride
book work bicycle drive
book work job watch
book work lesson learn
television play book work
television play game read
television play song drink
television play food eat
television play beverage sing
television play car ride
television play bicycle drive
television play job watch
television play lesson learn
game read book work
game read television play
game read song drink
game read food eat
game read beverage sing
game read car ride
game read bicycle drive
game read job watch
game read lesson learn
song drink book work
song drink television play
song drink game read
song drink food eat
song drink beverage sing
song drink car ride
song drink bicycle drive
song drink job watch
song drink lesson learn
food eat book work
food eat television play
food eat game read
food eat song drink
food eat beverage sing
food eat car ride
food eat bicycle drive
food eat job watch
food eat lesson learn
beverage sing book work
beverage sing television play
beverage sing game read
beverage sing song drink
beverage sing food eat
beverage sing car ride
beverage sing bicycle drive
beverage sing job watch
beverage sing lesson learn
car ride book work
car ride television play
car ride game read
car ride song drink
car ride food eat
car ride beverage sing
car ride bicycle drive
car ride job watch
car ride lesson learn
bicycle drive book work
bicycle drive television play
bicycle drive game read
bicycle drive song drink
bicycle drive food eat
bicycle drive beverage sing
bicycle drive car ride
bicycle drive job watch
bicycle drive lesson learn
job watch book work
job watch television play
job watch game read
job watch song drink
job watch food eat
job watch beverage sing
job watch car ride
job watch bicycle drive
job watch lesson learn
lesson learn book work
lesson learn television play
lesson learn game read
lesson learn song drink
lesson learn food eat
lesson learn beverage sing
lesson learn car ride
lesson learn bicycle drive
lesson learn job watch

: alcohol_made_from
wine corn cider grapes
wine corn chicha rice
wine corn beer agave
wine corn tequila sugarcane
wine corn rum potatoes
wine corn vodka barley
wine corn moonshine apples
sake corn cider grapes
sake corn chicha rice
sake corn beer agave
sake corn tequila sugarcane
sake corn rum potatoes
sake corn vodka barley
sake corn moonshine apples
cider grapes wine corn
cider grapes sake corn
cider grapes chicha rice
cider grapes beer agave
cider grapes tequila sugarcane
cider grapes rum potatoes
cider grapes vodka barley
cider grapes moonshine apples
chicha rice wine corn
chicha rice sake corn
chicha rice cider grapes
chicha rice beer agave
chicha rice tequila sugarcane
chicha rice rum potatoes
chicha rice vodka barley
chicha rice moonshine apples
beer agave wine corn
beer agave sake corn
beer agave cider grapes
beer agave chicha rice
beer agave tequila sugarcane
beer agave rum potatoes
beer agave vodka barley
beer agave moonshine apples
tequila sugarcane wine corn
tequila sugarcane sake corn
tequila sugarcane cider grapes
tequila sugarcane chicha rice
tequila sugarcane beer agave
tequila sugarcane rum potatoes
tequila sugarcane vodka barley
tequila sugarcane moonshine apples
rum potatoes wine corn
rum potatoes sake corn
rum potatoes cider grapes
rum potatoes chicha rice
rum potatoes beer agave
rum potatoes tequila sugarcane
rum potatoes vodka barley
rum potatoes moonshine apples
vodka barley wine corn
vodka barley sake corn
vodka barley cider grapes
vodka barley chicha rice
vodka barley beer agave
vodka barley tequila sugarcane
vodka barley rum potatoes
vodka barley moonshine apples
moonshine apples wine corn
moonshine apples sake corn
moonshine apples cider grapes
moonshine apples chicha rice
moonshine apples beer agave
moonshine apples tequila sugarcane
moonshine apples rum potatoes
moonshine apples vodka barley

: is_used_to
broom stab gun sew
broom stab dagger sweep
broom stab rag write
broom stab shovel cut
broom stab pen sleep
broom stab scissors sit
broom stab corkscrew shoot
broom stab needle uncork
broom stab chair dig
broom stab bed wipe
gun sew broom stab
gun sew dagger sweep
gun sew rag write
gun sew shovel cut
gun sew pen sleep
gun sew scissors sit
gun sew corkscrew shoot
gun sew needle uncork
gun sew chair dig
gun sew bed wipe
dagger sweep broom stab
dagger sweep gun sew
dagger sweep rag write
dagger sweep shovel cut
dagger sweep pen sleep
dagger sweep scissors sit
dagger sweep corkscrew shoot
dagger sweep needle uncork
dagger sweep chair dig
dagger sweep bed wipe
rag write broom stab
rag write gun sew
rag write dagger sweep
rag write shovel cut
rag write pen sleep
rag write scissors sit
rag write corkscrew shoot
rag write needle uncork
rag write chair dig
rag write bed wipe
shovel cut broom stab
shovel cut gun sew
shovel cut dagger sweep
shovel cut rag write
shovel cut pen sleep
shovel cut scissors sit
shovel cut corkscrew shoot
shovel cut needle uncork
shovel cut chair dig
shovel cut bed wipe
pen sleep broom stab
pen sleep gun sew
pen sleep dagger sweep
pen sleep rag write
pen sleep shovel cut
pen sleep scissors sit
pen sleep corkscrew shoot
pen sleep needle uncork
pen sleep chair dig
pen sleep bed wipe
scissors sit broom stab
scissors sit gun sew
scissors sit dagger sweep
scissors sit rag write
scissors sit shovel cut
scissors sit pen sleep
scissors sit corkscrew shoot
scissors sit needle uncork
scissors sit chair dig
scissors sit bed wipe
corkscrew shoot broom stab
corkscrew shoot gun sew
corkscrew shoot dagger sweep
corkscrew shoot rag write
corkscrew shoot shovel cut
corkscrew shoot pen sleep
corkscrew shoot scissors sit
corkscrew shoot needle uncork
corkscrew shoot chair dig
corkscrew shoot bed wipe
needle uncork broom stab
needle uncork gun sew
needle uncork dagger sweep
needle uncork rag write
needle uncork shovel cut
needle uncork pen sleep
needle uncork scissors sit
needle uncork corkscrew shoot
needle uncork chair dig
needle uncork bed wipe
chair dig broom stab
chair dig gun sew
chair dig dagger sweep
chair dig rag write
chair dig shovel cut
chair dig pen sleep
chair dig scissors sit
chair dig corkscrew shoot
chair dig needle uncork
chair dig bed wipe
bed wipe broom stab
bed wipe gun sew
bed wipe dagger sweep
bed wipe rag write
bed wipe shovel cut
bed wipe pen sleep
bed wipe scissors sit
bed wipe corkscrew shoot
bed wipe needle uncork
bed wipe chair dig

: relational_antonyms
own defense win seller
own defense toward west
own defense above receive
own defense employer lose
own defense parent sell
own defense teach student
own defense teacher away
own defense buy employee
own defense buyer below
own defense east learn
own defense husband prey
own defense predator child
own defense lend belong
own defense offense master
own defense slave patient
own defense doctor wife
own defense give borrow
win seller own defense
win seller toward west
win seller above receive
win seller employer lose
win seller parent sell
win seller teach student
win seller teacher away
win seller buy employee
win seller buyer below
win seller east learn
win seller husband prey
win seller predator child
win seller lend belong
win seller offense master
win seller slave patient
win seller doctor wife
win seller give borrow
toward west own defense
toward west win seller
toward west above receive
toward west employer lose
toward west parent sell
toward west teach student
toward west teacher away
toward west buy employee
toward west buyer below
toward west east learn
toward west husband prey
toward west predator child
toward west lend belong
toward west offense master
toward west slave patient
toward west doctor wife
toward west give borrow
above receive own defense
above receive win seller
above receive toward west
above receive employer lose
above receive parent sell
above receive teach student
above receive teacher away
above receive buy employee
above receive buyer below
above receive east learn
above receive husband prey
above receive predator child
above receive lend belong
above receive offense master
above receive slave patient
above receive doctor wife
above receive give borrow
employer lose own defense
employer lose win seller
employer lose toward west
employer lose above receive
employer lose parent sell
employer lose teach student
employer lose teacher away
employer lose buy employee
employer lose buyer below
employer lose east learn
employer lose husband prey
employer lose predator child
employer lose lend belong
employer lose offense master
employer lose slave patient
employer lose doctor wife
employer lose give borrow
parent sell own defense
parent sell win seller
parent sell toward west
parent sell above receive
parent sell employer lose
parent sell teach student
parent sell teacher away
parent sell buy employee
parent sell buyer below
parent sell east learn
parent sell husband prey
parent sell predator child
parent sell lend belong
parent sell offense master
parent sell slave patient
parent sell doctor wife
parent sell give borrow
teach student own defense
teach student win seller
teach student toward west
teach student above receive
teach student employer lose
teach student parent sell
teach student teacher away
teach student buy employee
teach student buyer below
teach student east learn
teach student husband prey
teach student predator child
teach student lend belong
teach student offense master
teach student slave patient
teach student doctor wife
teach student give borrow
teacher away own defense
teacher away win seller
teacher away toward west
teacher away above receive
teacher away employer lose
teacher away parent sell
teacher away teach student
teacher away buy employee
teacher away buyer below
teacher away east learn
teacher away husband prey
teacher away predator child
teacher away lend belong
teacher away offense master
teacher away slave patient
teacher away doctor wife
teacher away give borrow
buy employee own defense
buy employee win seller
buy employee toward west
buy employee above receive
buy employee employer lose
buy employee parent sell
buy employee teach student
buy employee teacher away
buy employee buyer below
buy employee east learn
buy employee husband prey
buy employee predator child
buy employee lend belong
buy employee offense master
buy employee slave patient
buy employee doctor wife
buy employee give borrow
buyer below own defense
buyer below win seller
buyer below toward west
buyer below above receive
buyer below employer lose
buyer below parent sell
buyer below teach student
buyer below teacher away
buyer below buy employee
buyer below east learn
buyer below husband prey
buyer below predator child
buyer below lend belong
buyer below offense master
buyer below slave patient
buyer below doctor wife
buyer below give borrow
east learn own defense
east learn win seller
east learn toward west
east learn above receive
east learn employer lose
east learn parent sell
east learn teach student
east learn teacher away
east learn buy employee
east learn buyer below
east learn husband prey
east learn predator child
east learn lend belong
east learn offense master
east learn slave patient
east learn doctor wife
east learn give borrow
husband prey own defense
husband prey win seller
husband prey toward west
husband prey above receive
husband prey employer lose
husband prey parent sell
husband prey teach student
husband prey teacher away
husband prey buy employee
husband prey buyer below
husband prey east learn
husband prey predator child
husband prey lend belong
husband prey offense master
husband prey slave patient
husband prey doctor wife
husband prey give borrow
predator child own defense
predator child win seller
predator child toward west
predator child above receive
predator child employer lose
predator child parent sell
predator child teach student
predator child teacher away
predator child buy employee
predator child buyer below
predator child east learn
predator child husband prey
predator child lend belong
predator child offense master
predator child slave patient
predator child doctor wife
predator child give borrow
lend belong own defense
lend belong win seller
lend belong toward west
lend belong above receive
lend belong employer lose
lend belong parent sell
lend belong teach student
lend belong teacher away
lend belong buy employee
lend belong buyer below
lend belong east learn
lend belong husband prey
lend belong predator child
lend belong offense master
lend belong slave patient
lend belong doctor wife
lend belong give borrow
offense master own defense
offense master win seller
offense master toward west
offense master above receive
offense master employer lose
offense master parent sell
offense master teach student
offense master teacher away
offense master buy employee
offense master buyer below
offense master east learn
offense master husband prey
offense master predator child
offense master lend belong
offense master slave patient
offense master doctor wife
offense master give borrow
slave patient own defense
slave patient win seller
slave patient toward west
slave patient above receive
slave patient employer lose
slave patient parent sell
slave patient teach student
slave patient teacher away
slave patient buy employee
slave patient buyer below
slave patient east learn
slave patient husband prey
slave patient predator child
slave patient lend belong
slave patient offense master
slave patient doctor wife
slave patient give borrow
doctor wife own defense
doctor wife win seller
doctor wife toward west
doctor wife above receive
doctor wife employer lose
doctor wife parent sell
doctor wife teach student
doctor wife teacher away
doctor wife buy employee
doctor wife buyer below
doctor wife east learn
doctor wife husband prey
doctor wife predator child
doctor wife lend belong
doctor wife offense master
doctor wife slave patient
doctor wife give borrow
give borrow own defense
give borrow win seller
give borrow toward west
give borrow above receive
give borrow employer lose
give borrow parent sell
give borrow teach student
give borrow teacher away
give borrow buy employee
give borrow buyer below
give borrow east learn
give borrow husband prey
give borrow predator child
give borrow lend belong
give borrow offense master
give borrow slave patient
give borrow doctor wife

