analogy,cos,w3w4,w2w4,addrank,baserank,domainsimrank,mulrank,diffrank,category,freq1,freq2,freq3,freq4
bear:cub::horse:foal,0.3927836793307095,0.45714174130924584,0.2562049831203342,51,162,1596,45,19686,: animal and young,71174,5378,127812,1994
bear:cub::kangaroo:joey,0.09894775437432936,0.04491019046069009,0.12820879221009185,108520,287301,50438,110180,118040,: animal and young,71174,5378,7074,16138
bear:cub::owl:owlet,0.4291337983365315,0.5969596646931629,0.17517669523930623,9,7,13347,10,354366,: animal and young,71174,5378,12424,280
bear:cub::pig:piglet,0.3394656265350564,0.5376172143906938,0.3707456531242745,59,24,101,48,1172864,: animal and young,71174,5378,16222,687
bear:cub::rabbit:bunny,0.39523246337509005,0.6252425600216586,0.2511198732186109,15,4,1814,15,1195304,: animal and young,71174,5378,15931,7773
bear:cub::sheep:lamb,0.21467959443245552,0.3944894837882045,0.10807146526799964,4599,554,87778,4553,1293131,: animal and young,71174,5378,31794,14866
bear:cub::swan:cygnet,0.4507299945167946,0.449334840657349,0.19113209303084924,1,12,8635,1,255,: animal and young,71174,5378,20773,481
cat:kitten::bear:cub,0.34048079255659425,0.438731753874935,0.3307424303238423,23,19,588,23,703066,: animal and young,50326,2739,71174,5378
cat:kitten::cow:calf,0.5253817700311355,0.6276009130868511,0.269935289409606,2,5,2322,2,75504,: animal and young,50326,2739,16036,5455
cat:kitten::chicken:chick,0.38245920813865786,0.45003591929293324,0.32090292605433485,147,408,735,136,216144,: animal and young,50326,2739,22976,6717
cat:kitten::deer:fawn,0.3081261313672732,0.3926426801159821,0.34333861844781505,320,534,427,313,671609,: animal and young,50326,2739,29237,1981
cat:kitten::dog:puppy,0.7068832730356265,0.7299511716777783,0.6694511281805564,1,2,2,1,5,: animal and young,50326,2739,80547,3762
cat:kitten::duck:duckling,0.3575444539828442,0.47139897186462243,0.37806017464418956,45,65,184,39,888350,: animal and young,50326,2739,22351,752
cat:kitten::eagle:eaglet,0.39528051714288853,0.4465164629735501,0.07133377727213956,14,56,236848,14,69264,: animal and young,50326,2739,46506,207
cat:kitten::fish:fingerling,0.39088370090080443,0.503524640250697,0.1925192767650409,305,357,13840,301,730025,: animal and young,50326,2739,129071,54
cat:kitten::fly:maggot,0.14469771194618733,0.2763198470880295,0.2623184302695026,12593,1636,2777,13039,1328668,: animal and young,50326,2739,64317,680
cat:kitten::frog:tadpole,0.4330699339560858,0.5151180288969297,0.28412092693025864,85,236,1707,86,203069,: animal and young,50326,2739,22637,907
cat:kitten::horse:foal,0.449783743840679,0.45714174130924584,0.3584470411049777,26,162,319,26,1105,: animal and young,50326,2739,127812,1994
cat:kitten::insect:larva,0.5089831768411328,0.5858081715864989,0.17088971137603612,28,63,23065,28,24907,: animal and young,50326,2739,13238,4807
cat:kitten::goose:gosling,0.1845532420413493,0.08799912251630734,0.17015355770511167,5095,139800,23481,5208,1707,: animal and young,50326,2739,9631,1514
cat:kitten::hawk:eyas,0.30058835669222483,0.353536523858066,0.18111243669813243,94,233,18152,93,326162,: animal and young,50326,2739,18391,8
cat:kitten::horse:foal,0.449783743840679,0.45714174130924584,0.3584470411049777,26,162,319,26,1105,: animal and young,50326,2739,127812,1994
cat:kitten::kangaroo:joey,0.03258741287119065,0.04491019046069009,0.24252238856666353,352435,287301,4361,357043,685132,: animal and young,50326,2739,7074,16138
cat:kitten::owl:owlet,0.43685270338011273,0.5969596646931629,0.1287749040381101,10,7,63837,10,1188834,: animal and young,50326,2739,12424,280
cat:kitten::pig:piglet,0.3841100114112504,0.5376172143906938,0.3881367618999055,29,23,144,29,1234988,: animal and young,50326,2739,16222,687
cat:kitten::rabbit:bunny,0.5152115201563479,0.6252425600216586,0.4572984448273813,1,3,34,1,163602,: animal and young,50326,2739,15931,7773
cat:kitten::sheep:lamb,0.2599541941772893,0.3944894837882045,0.16750382168581512,1300,554,24968,1296,1275480,: animal and young,50326,2739,31794,14866
cat:kitten::swan:cygnet,0.3570516062655165,0.449334840657349,0.1282645702245413,8,12,64595,8,557046,: animal and young,50326,2739,20773,481
cow:calf::bear:cub,0.4045562986172705,0.438731753874935,0.29830081285487614,6,19,845,6,19498,: animal and young,16036,5455,71174,5378
cow:calf::cat:kitten,0.5157074809168086,0.6754624000989568,0.269935289409606,3,5,1551,3,572303,: animal and young,16036,5455,50326,2739
cow:calf::chicken:chick,0.34065495207007296,0.45003591929293324,0.17812066858953313,329,408,14620,309,754063,: animal and young,16036,5455,22976,6717
cow:calf::deer:fawn,0.36068572334858096,0.3926426801159821,0.31985222085115494,303,533,537,301,53328,: animal and young,16036,5455,29237,1981
cow:calf::dog:puppy,0.5266825011428552,0.7299511716777783,0.29111277419906034,7,2,987,7,1140896,: animal and young,16036,5455,80547,3762
cow:calf::duck:duckling,0.3048262657669586,0.47139897186462243,0.21785760631689255,444,65,5343,396,1296805,: animal and young,16036,5455,22351,752
cow:calf::eagle:eaglet,0.4434914669003375,0.4465164629735501,0.14289031585953768,12,56,37850,12,1330,: animal and young,16036,5455,46506,207
cow:calf::fish:fingerling,0.4078928643834599,0.503524640250697,0.2582963273018817,805,357,2061,803,283591,: animal and young,16036,5455,129071,54
cow:calf::fly:maggot,0.13734593419912255,0.2763198470880295,0.2080688494157584,26871,1636,6784,28052,1329284,: animal and young,16036,5455,64317,680
cow:calf::frog:tadpole,0.41348508227666353,0.5151180288969297,0.19113395590669696,316,236,10389,323,329433,: animal and young,16036,5455,22637,907
cow:calf::horse:foal,0.4707716862237331,0.45714174130924584,0.43885359264538026,19,162,52,17,661,: animal and young,16036,5455,127812,1994
cow:calf::insect:larva,0.4801679419491213,0.5858081715864989,0.1862233639587149,38,63,11775,38,143737,: animal and young,16036,5455,13238,4807
cow:calf::goose:gosling,0.13462355822998692,0.08799912251630734,0.0697809673105683,41808,139800,243422,42710,86696,: animal and young,16036,5455,9631,1514
cow:calf::hawk:eyas,0.2335014971095534,0.353536523858066,0.13842469604318133,2051,234,42871,2104,1172927,: animal and young,16036,5455,18391,8
cow:calf::horse:foal,0.4707716862237331,0.45714174130924584,0.43885359264538026,19,162,52,17,661,: animal and young,16036,5455,127812,1994
cow:calf::kangaroo:joey,0.030728039295134367,0.04491019046069009,0.05159326540174172,414090,287301,356430,420607,760454,: animal and young,16036,5455,7074,16138
cow:calf::owl:owlet,0.5184356609766972,0.5969596646931629,0.10404837892480531,8,7,106968,8,18048,: animal and young,16036,5455,12424,280
cow:calf::pig:piglet,0.33507441024779583,0.5376172143906938,0.25552571614311126,149,23,2208,132,1340674,: animal and young,16036,5455,16222,687
cow:calf::rabbit:bunny,0.4107537218888164,0.6252425600216586,0.1171970569518841,18,4,75979,18,1335983,: animal and young,16036,5455,15931,7773
cow:calf::sheep:lamb,0.26915558743566176,0.3944894837882045,0.3621483119604023,1319,552,222,1330,1133708,: animal and young,16036,5455,31794,14866
cow:calf::swan:cygnet,0.44070815440686817,0.449334840657349,0.20359883202621493,4,12,7615,4,3302,: animal and young,16036,5455,20773,481
chicken:chick::bear:cub,0.3302427122231351,0.438731753874935,0.19442348869096068,5,19,6525,5,235396,: animal and young,22976,6717,71174,5378
chicken:chick::cat:kitten,0.5093884155587065,0.6754624000989568,0.32090292605433485,1,5,144,1,28849,: animal and young,22976,6717,50326,2739
chicken:chick::cow:calf,0.37616175677685193,0.6276009130868511,0.17812066858953313,4,5,10576,4,1234793,: animal and young,22976,6717,16036,5455
chicken:chick::deer:fawn,0.3039735153328162,0.3926426801159821,0.1633656673992668,335,534,16400,344,206429,: animal and young,22976,6717,29237,1981
chicken:chick::dog:puppy,0.5148320322266003,0.7299511716777783,0.35134007645210935,1,2,58,1,177306,: animal and young,22976,6717,80547,3762
chicken:chick::duck:duckling,0.30806378242359606,0.47139897186462243,0.27700003902902126,169,64,564,175,844946,: animal and young,22976,6717,22351,752
chicken:chick::eagle:eaglet,0.38760303362382637,0.4465164629735501,0.13514897236305737,6,56,37634,6,8878,: animal and young,22976,6717,46506,207
chicken:chick::fish:fingerling,0.30261220495854146,0.503524640250697,0.2225562780368304,2632,357,2770,2944,1160468,: animal and young,22976,6717,129071,54
chicken:chick::fly:maggot,0.10426164985512362,0.2763198470880295,0.15821431337871725,46041,1636,19021,46574,1331233,: animal and young,22976,6717,64317,680
chicken:chick::frog:tadpole,0.35318876767772206,0.5151180288969297,0.22391715325548062,346,236,2662,354,620872,: animal and young,22976,6717,22637,907
chicken:chick::horse:foal,0.32149510234507944,0.45714174130924584,0.1519345834539223,110,162,22946,113,508226,: animal and young,22976,6717,127812,1994
chicken:chick::insect:larva,0.4916735246152779,0.5858081715864989,0.23430951352367207,18,63,1948,18,1378,: animal and young,22976,6717,13238,4807
chicken:chick::goose:gosling,0.15407629152587524,0.08799912251630734,0.10772195332281843,17490,139800,80535,18492,25450,: animal and young,22976,6717,9631,1514
chicken:chick::hawk:eyas,0.22518540174382037,0.353536523858066,0.1878198627860634,1058,234,7873,1143,941584,: animal and young,22976,6717,18391,8
chicken:chick::horse:foal,0.32149510234507944,0.45714174130924584,0.1519345834539223,110,162,22946,113,508226,: animal and young,22976,6717,127812,1994
chicken:chick::kangaroo:joey,0.14335784480266392,0.04491019046069009,0.30682892766837705,31226,287301,219,32633,6909,: animal and young,22976,6717,7074,16138
chicken:chick::owl:owlet,0.4151227924730885,0.5969596646931629,0.06635456187943393,17,7,221920,16,526275,: animal and young,22976,6717,12424,280
chicken:chick::pig:piglet,0.3041316223708146,0.5376172143906938,0.17835630743991038,76,23,10516,74,1276242,: animal and young,22976,6717,16222,687
chicken:chick::rabbit:bunny,0.48958705981311323,0.6252425600216586,0.37871057616297604,1,4,35,1,11544,: animal and young,22976,6717,15931,7773
chicken:chick::sheep:lamb,0.17661616384308196,0.3944894837882045,0.275635021802965,8137,554,597,8934,1335045,: animal and young,22976,6717,31794,14866
chicken:chick::swan:cygnet,0.3292790852438114,0.449334840657349,0.08050350103779329,29,12,160059,25,352271,: animal and young,22976,6717,20773,481
deer:fawn::bear:cub,0.32162779204831005,0.438731753874935,0.3245824106396595,65,19,805,68,295118,: animal and young,29237,1981,71174,5378
deer:fawn::cat:kitten,0.5689508963204655,0.6754624000989568,0.34333861844781505,2,5,547,2,204,: animal and young,29237,1981,50326,2739
deer:fawn::cow:calf,0.44895177393102825,0.6276009130868511,0.31985222085115494,2,5,881,2,162793,: animal and young,29237,1981,16036,5455
deer:fawn::chicken:chick,0.3956872082245033,0.45003591929293324,0.1633656673992668,36,409,26319,35,7583,: animal and young,29237,1981,22976,6717
deer:fawn::dog:puppy,0.60693013456194,0.7299511716777783,0.3328527078810708,3,2,666,3,70,: animal and young,29237,1981,80547,3762
deer:fawn::duck:duckling,0.411120534343666,0.47139897186462243,0.27121992295339414,15,65,2587,14,6221,: animal and young,29237,1981,22351,752
deer:fawn::eagle:eaglet,0.35926884363285855,0.4465164629735501,0.19051748025021453,31,56,14728,32,65919,: animal and young,29237,1981,46506,207
deer:fawn::fish:fingerling,0.41957480620627186,0.503524640250697,0.23791115606914703,29,357,5356,32,11396,: animal and young,29237,1981,129071,54
deer:fawn::fly:maggot,0.15141056093848365,0.2763198470880295,0.11611466972417071,15963,1636,73348,16360,1120008,: animal and young,29237,1981,64317,680
deer:fawn::frog:tadpole,0.40459109944508115,0.5151180288969297,0.2222726058452769,63,236,7485,64,57526,: animal and young,29237,1981,22637,907
deer:fawn::horse:foal,0.4412633866159272,0.45714174130924584,0.3241099369162926,12,162,810,13,402,: animal and young,29237,1981,127812,1994
deer:fawn::insect:larva,0.5034792256901583,0.5858081715864989,0.28443617623035883,1,63,1917,1,676,: animal and young,29237,1981,13238,4807
deer:fawn::goose:gosling,0.10960309891784006,0.08799912251630734,0.08945390617684608,70871,139800,131499,72438,189229,: animal and young,29237,1981,9631,1514
deer:fawn::hawk:eyas,0.24317168334123587,0.353536523858066,0.19983520610483743,1316,234,12030,1361,617960,: animal and young,29237,1981,18391,8
deer:fawn::horse:foal,0.4412633866159272,0.45714174130924584,0.3241099369162926,12,162,810,13,402,: animal and young,29237,1981,127812,1994
deer:fawn::kangaroo:joey,0.11614774916514199,0.04491019046069009,0.0689880458110281,63584,287301,205049,65397,56308,: animal and young,29237,1981,7074,16138
deer:fawn::owl:owlet,0.4602442351706749,0.5969596646931629,0.28111976669258915,10,7,2068,10,33042,: animal and young,29237,1981,12424,280
deer:fawn::pig:piglet,0.33575899819163146,0.5376172143906938,0.22230669808227463,128,24,7480,118,992615,: animal and young,29237,1981,16222,687
deer:fawn::rabbit:bunny,0.473276393015337,0.6252425600216586,0.21169850900517603,15,4,9349,15,40416,: animal and young,29237,1981,15931,7773
deer:fawn::sheep:lamb,0.29360399368143797,0.3944894837882045,0.19681843196442617,577,553,12833,588,279254,: animal and young,29237,1981,31794,14866
deer:fawn::swan:cygnet,0.4136408744210097,0.449334840657349,0.2424157312046979,3,12,4865,3,1977,: animal and young,29237,1981,20773,481
dog:puppy::bear:cub,0.34683139567974053,0.438731753874935,0.34134384615721935,31,19,785,34,934580,: animal and young,80547,3762,71174,5378
dog:puppy::cat:kitten,0.7058170020759986,0.6754624000989568,0.6694511281805564,1,4,3,1,2,: animal and young,80547,3762,50326,2739
dog:puppy::cow:calf,0.48235185335233394,0.6276009130868511,0.29111277419906034,4,5,1939,4,1196064,: animal and young,80547,3762,16036,5455
dog:puppy::chicken:chick,0.4153613310486906,0.45003591929293324,0.35134007645210935,66,408,638,57,65655,: animal and young,80547,3762,22976,6717
dog:puppy::deer:fawn,0.3128780236051682,0.3926426801159821,0.3328527078810708,403,534,931,381,947518,: animal and young,80547,3762,29237,1981
dog:puppy::duck:duckling,0.42998211947809545,0.47139897186462243,0.38495416494188134,11,65,343,8,79398,: animal and young,80547,3762,22351,752
dog:puppy::eagle:eaglet,0.39470906775825576,0.4465164629735501,0.036303166328828344,10,56,442043,12,275465,: animal and young,80547,3762,46506,207
dog:puppy::fish:fingerling,0.4245314249213438,0.503524640250697,0.24059721157500163,223,357,5064,199,445036,: animal and young,80547,3762,129071,54
dog:puppy::fly:maggot,0.20022293695524707,0.2763198470880295,0.34675878082632505,3215,1636,703,3342,1073622,: animal and young,80547,3762,64317,680
dog:puppy::frog:tadpole,0.49938644295138385,0.5151180288969297,0.31324105359349913,20,236,1332,21,3004,: animal and young,80547,3762,22637,907
dog:puppy::horse:foal,0.4642654236612157,0.45714174130924584,0.3205238516106981,9,161,1170,9,4871,: animal and young,80547,3762,127812,1994
dog:puppy::insect:larva,0.5290930633147601,0.5858081715864989,0.1548641173705835,20,63,31901,21,21389,: animal and young,80547,3762,13238,4807
dog:puppy::goose:gosling,0.1234621796250384,0.08799912251630734,0.14162904421933514,43605,139800,43299,42226,127745,: animal and young,80547,3762,9631,1514
dog:puppy::hawk:eyas,0.338294044920477,0.353536523858066,0.17682725344157424,39,234,19275,34,110337,: animal and young,80547,3762,18391,8
dog:puppy::horse:foal,0.4642654236612157,0.45714174130924584,0.3205238516106981,9,161,1170,9,4871,: animal and young,80547,3762,127812,1994
dog:puppy::kangaroo:joey,0.054708842227669446,0.04491019046069009,0.2749470849399155,244614,287301,2595,242159,478255,: animal and young,80547,3762,7074,16138
dog:puppy::owl:owlet,0.45095332200455196,0.5969596646931629,0.07216742898548946,10,7,219054,12,1256099,: animal and young,80547,3762,12424,280
dog:puppy::pig:piglet,0.41594278067652474,0.5376172143906938,0.4118042636776268,21,23,201,18,1097292,: animal and young,80547,3762,16222,687
dog:puppy::rabbit:bunny,0.5300302177495265,0.6252425600216586,0.3937309475610058,6,3,294,7,274679,: animal and young,80547,3762,15931,7773
dog:puppy::sheep:lamb,0.29006184963903925,0.3944894837882045,0.24594648287886772,876,554,4602,827,1177494,: animal and young,80547,3762,31794,14866
dog:puppy::swan:cygnet,0.3789129432033309,0.449334840657349,0.1136417051383793,12,12,84341,13,481064,: animal and young,80547,3762,20773,481
duck:duckling::bear:cub,0.36248369069466385,0.438731753874935,0.2332321309211333,12,19,2902,12,82953,: animal and young,22351,752,71174,5378
duck:duckling::cat:kitten,0.5270462809251748,0.6754624000989568,0.37806017464418956,2,5,64,2,25983,: animal and young,22351,752,50326,2739
duck:duckling::cow:calf,0.4243872958919075,0.6276009130868511,0.21785760631689255,12,5,4306,13,941252,: animal and young,22351,752,16036,5455
duck:duckling::chicken:chick,0.3182578461547003,0.45003591929293324,0.27700003902902126,247,408,943,252,636176,: animal and young,22351,752,22976,6717
duck:duckling::deer:fawn,0.30111574727912715,0.3926426801159821,0.27121992295339414,139,534,1098,149,353787,: animal and young,22351,752,29237,1981
duck:duckling::dog:puppy,0.5667884198619548,0.7299511716777783,0.38495416494188134,1,2,50,1,7060,: animal and young,22351,752,80547,3762
duck:duckling::eagle:eaglet,0.3386761050288492,0.4465164629735501,0.20860535517628315,39,56,5419,36,332178,: animal and young,22351,752,46506,207
duck:duckling::fish:fingerling,0.3846998523899296,0.503524640250697,0.25314124616704875,29,357,1762,35,208852,: animal and young,22351,752,129071,54
duck:duckling::fly:maggot,0.19083187423942297,0.2763198470880295,0.18397223032312762,4563,1636,10263,4559,764267,: animal and young,22351,752,64317,680
duck:duckling::frog:tadpole,0.38479937104423473,0.5151180288969297,0.2529388505024443,41,236,1775,44,322394,: animal and young,22351,752,22637,907
duck:duckling::horse:foal,0.3661260134795027,0.45714174130924584,0.14054886108708653,65,162,34397,68,131927,: animal and young,22351,752,127812,1994
duck:duckling::insect:larva,0.44011306636192316,0.5858081715864989,0.09284920913483788,7,63,129701,7,197090,: animal and young,22351,752,13238,4807
duck:duckling::goose:gosling,0.028470261807302638,0.08799912251630734,0.03169488319329037,485893,139800,492663,503830,1077070,: animal and young,22351,752,9631,1514
duck:duckling::hawk:eyas,0.21300471233121443,0.353536523858066,0.19554156144464505,1741,234,7585,1930,1110988,: animal and young,22351,752,18391,8
duck:duckling::horse:foal,0.3661260134795027,0.45714174130924584,0.14054886108708653,65,162,34397,68,131927,: animal and young,22351,752,127812,1994
duck:duckling::kangaroo:joey,0.07397397943599988,0.04491019046069009,0.15738770803709196,162640,287301,21224,170167,305465,: animal and young,22351,752,7074,16138
duck:duckling::owl:owlet,0.4016423062865664,0.5969596646931629,0.20015466987859853,7,7,6715,7,904562,: animal and young,22351,752,12424,280
duck:duckling::pig:piglet,0.40223278596051787,0.5376172143906938,0.42140979748566865,9,24,21,9,279309,: animal and young,22351,752,16222,687
duck:duckling::rabbit:bunny,0.3920200187298064,0.6252425600216586,0.4067631646621371,32,4,29,32,1233793,: animal and young,22351,752,15931,7773
duck:duckling::sheep:lamb,0.22569970218097038,0.3944894837882045,0.22086571771089922,1653,554,3998,1777,1222313,: animal and young,22351,752,31794,14866
duck:duckling::swan:cygnet,0.35455202909323197,0.449334840657349,0.21909016370069745,19,12,4191,16,186446,: animal and young,22351,752,20773,481
eagle:eaglet::bear:cub,0.2772889346032669,0.438731753874935,0.341065895199375,60,19,50,66,996732,: animal and young,46506,207,71174,5378
eagle:eaglet::cat:kitten,0.452718036965511,0.6754624000989568,0.07133377727213956,1,5,225480,1,682245,: animal and young,46506,207,50326,2739
eagle:eaglet::cow:calf,0.400161073226893,0.6276009130868511,0.14289031585953768,6,5,32086,6,1040682,: animal and young,46506,207,16036,5455
eagle:eaglet::chicken:chick,0.32746438732118194,0.45003591929293324,0.13514897236305737,1009,409,40429,921,404291,: animal and young,46506,207,22976,6717
eagle:eaglet::deer:fawn,0.23511747010400522,0.3926426801159821,0.19051748025021453,1385,534,7308,1331,1105102,: animal and young,46506,207,29237,1981
eagle:eaglet::dog:puppy,0.5155431775128244,0.7299511716777783,0.036303166328828344,2,2,458842,2,163358,: animal and young,46506,207,80547,3762
eagle:eaglet::duck:duckling,0.3555768792337137,0.47139897186462243,0.20860535517628315,32,65,4188,27,235707,: animal and young,46506,207,22351,752
eagle:eaglet::fish:fingerling,0.37026189250745073,0.503524640250697,0.1566748283829409,369,357,21043,343,300707,: animal and young,46506,207,129071,54
eagle:eaglet::fly:maggot,0.14329381123643287,0.2763198470880295,-0.0707141945055676,13256,1636,1240020,14205,1212510,: animal and young,46506,207,64317,680
eagle:eaglet::frog:tadpole,0.37223752164300716,0.5151180288969297,0.14042215330341823,125,236,34511,129,365663,: animal and young,46506,207,22637,907
eagle:eaglet::horse:foal,0.29616152717655647,0.45714174130924584,0.19635088764960673,463,162,6083,444,914353,: animal and young,46506,207,127812,1994
eagle:eaglet::insect:larva,0.40678433975238915,0.5858081715864989,0.06109882122030442,78,63,283021,76,629524,: animal and young,46506,207,13238,4807
eagle:eaglet::goose:gosling,0.13798945874187662,0.08799912251630734,0.07398444015140589,27380,139800,212169,27101,64308,: animal and young,46506,207,9631,1514
eagle:eaglet::hawk:eyas,0.27057674551364463,0.353536523858066,0.25412282117561497,173,233,998,165,338123,: animal and young,46506,207,18391,8
eagle:eaglet::horse:foal,0.29616152717655647,0.45714174130924584,0.19635088764960673,463,162,6083,444,914353,: animal and young,46506,207,127812,1994
eagle:eaglet::kangaroo:joey,0.006265690686840299,0.04491019046069009,-0.0380510815477726,633945,287301,1076033,637587,995866,: animal and young,46506,207,7074,16138
eagle:eaglet::owl:owlet,0.4280332306341767,0.5969596646931629,0.23944745663296774,5,7,1588,6,272620,: animal and young,46506,207,12424,280
eagle:eaglet::pig:piglet,0.4268820536040217,0.5376172143906938,0.1787572922625057,2,24,10548,2,39560,: animal and young,46506,207,16222,687
eagle:eaglet::rabbit:bunny,0.3624426977135348,0.6252425600216586,-0.037633345040812775,23,4,1073317,24,1308271,: animal and young,46506,207,15931,7773
eagle:eaglet::sheep:lamb,0.16887100535207702,0.3944894837882045,-0.0011367272489898482,10890,554,784626,10534,1342920,: animal and young,46506,207,31794,14866
eagle:eaglet::swan:cygnet,0.41396427427391946,0.449334840657349,0.4057227389919702,2,12,5,3,1302,: animal and young,46506,207,20773,481
fish:fingerling::bear:cub,0.36024279958646677,0.438731753874935,0.17763600446204084,10,19,20120,10,173127,: animal and young,129071,54,71174,5378
fish:fingerling::cat:kitten,0.5286906986167944,0.6754624000989568,0.1925192767650409,1,5,14595,1,58102,: animal and young,129071,54,50326,2739
fish:fingerling::cow:calf,0.47669473921460054,0.6276009130868511,0.2582963273018817,1,5,4085,1,245109,: animal and young,129071,54,16036,5455
fish:fingerling::chicken:chick,0.3710353241636046,0.45003591929293324,0.2225562780368304,144,409,7917,134,145331,: animal and young,129071,54,22976,6717
fish:fingerling::deer:fawn,0.36994994754479854,0.3926426801159821,0.23791115606914703,47,533,5927,49,22150,: animal and young,129071,54,29237,1981
fish:fingerling::dog:puppy,0.5721574945970128,0.7299511716777783,0.24059721157500163,3,2,5644,3,21085,: animal and young,129071,54,80547,3762
fish:fingerling::duck:duckling,0.45010796383558155,0.47139897186462243,0.25314124616704875,3,65,4510,3,746,: animal and young,129071,54,22351,752
fish:fingerling::eagle:eaglet,0.37460349640053964,0.4465164629735501,0.1566748283829409,16,56,32128,16,105399,: animal and young,129071,54,46506,207
fish:fingerling::fly:maggot,0.24540531554761258,0.2763198470880295,0.35170158127449924,769,1636,652,800,224012,: animal and young,129071,54,64317,680
fish:fingerling::frog:tadpole,0.3809250454416638,0.5151180288969297,0.3645818594364951,64,236,481,65,548568,: animal and young,129071,54,22637,907
fish:fingerling::horse:foal,0.3710962723364475,0.45714174130924584,0.18254504542210426,213,162,18109,211,181245,: animal and young,129071,54,127812,1994
fish:fingerling::insect:larva,0.44368159872855967,0.5858081715864989,0.24215397496618804,43,63,5469,44,289982,: animal and young,129071,54,13238,4807
fish:fingerling::goose:gosling,0.10880648461760206,0.08799912251630734,0.010759128082213174,96131,139800,702040,98651,309402,: animal and young,129071,54,9631,1514
fish:fingerling::hawk:eyas,0.31485185939618404,0.353536523858066,0.23362202031876186,62,234,6392,61,96759,: animal and young,129071,54,18391,8
fish:fingerling::horse:foal,0.3710962723364475,0.45714174130924584,0.18254504542210426,213,162,18109,211,181245,: animal and young,129071,54,127812,1994
fish:fingerling::kangaroo:joey,0.07324457135647501,0.04491019046069009,0.05014801345565753,212624,287301,369462,218648,394145,: animal and young,129071,54,7074,16138
fish:fingerling::owl:owlet,0.47590039180903204,0.5969596646931629,0.11895425647495281,3,7,78625,3,70165,: animal and young,129071,54,12424,280
fish:fingerling::pig:piglet,0.39119259011649177,0.5376172143906938,0.25378122665827646,28,24,4453,26,638939,: animal and young,129071,54,16222,687
fish:fingerling::rabbit:bunny,0.5008870405075858,0.6252425600216586,0.14119420004868902,2,4,45845,2,45678,: animal and young,129071,54,15931,7773
fish:fingerling::sheep:lamb,0.30804909859215635,0.3944894837882045,0.18049335761148846,636,554,18945,648,428631,: animal and young,129071,54,31794,14866
fish:fingerling::swan:cygnet,0.3660745009024536,0.449334840657349,0.14954204147436123,5,12,37761,5,181086,: animal and young,129071,54,20773,481
fly:maggot::bear:cub,0.19750832869518514,0.438731753874935,0.08106022757570713,10594,19,219442,11965,1338560,: animal and young,64317,680,71174,5378
fly:maggot::cat:kitten,0.4365418679730352,0.6754624000989568,0.2623184302695026,15,5,8026,15,1000123,: animal and young,64317,680,50326,2739
fly:maggot::cow:calf,0.43167586535284447,0.6276009130868511,0.2080688494157584,15,5,23714,15,647638,: animal and young,64317,680,16036,5455
fly:maggot::chicken:chick,0.26520188604496675,0.45003591929293324,0.15821431337871725,4880,409,59060,4554,1224533,: animal and young,64317,680,22976,6717
fly:maggot::deer:fawn,0.20712368095951741,0.3926426801159821,0.11611466972417071,14111,534,121443,13507,1290409,: animal and young,64317,680,29237,1981
fly:maggot::dog:puppy,0.5351682873404702,0.7299511716777783,0.34675878082632505,2,2,1153,2,47485,: animal and young,64317,680,80547,3762
