#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            Examples/RandomScaled-1a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-1a.txt
#   MaxDiff Answers File:         Examples/RandomMaxDiff-1a.txt
#   Number of Unique Pairs:       41
#   Number of MaxDiff Questions:  103
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"bird:robin" "dog:poodle" "pen:ballpoint" "insect:ant" "dog:poodle" "pen:ballpoint"
"bread:wheat" "vegetable:carrot" "song:opera" "tree:oak" "song:opera" "bread:wheat"
"currency:dollar" "hair:brown" "oak:tree" "wheat:bread" "wheat:bread" "hair:brown"
"jewelry:ring" "automobile:van" "tree:ash" "weapon:spear" "tree:ash" "jewelry:ring"
"mammal:porpoise" "color:red" "rodent:mouse" "dollar:currency" "color:red" "dollar:currency"
"weather:rain" "animal:carabao" "footwear:boot" "clothing:shirt" "clothing:shirt" "weather:rain"
"dog:pet" "furniture:couch" "car:mustang" "bush:azalea" "dog:pet" "bush:azalea"
"politician:senator" "dog:chihuahua" "art:abstract" "bush:astilbe" "art:abstract" "bush:astilbe"
"school:university" "furniture:chair" "couch:furniture" "pet:dog" "school:university" "furniture:chair"
"animal:pig" "jewelry:ring" "couch:furniture" "animal:carabao" "animal:carabao" "animal:pig"
"pet:dog" "school:university" "fruit:grape" "rodent:mouse" "rodent:mouse" "fruit:grape"
"dog:poodle" "color:red" "bush:astilbe" "insect:ant" "dog:poodle" "bush:astilbe"
"animal:pig" "footwear:boot" "wheat:bread" "bush:azalea" "wheat:bread" "bush:azalea"
"weapon:spear" "hair:brown" "dog:chihuahua" "vegetable:carrot" "dog:chihuahua" "hair:brown"
"mammal:porpoise" "sweater:knit" "weather:rain" "tree:ash" "tree:ash" "weather:rain"
"bird:swan" "bread:wheat" "tree:oak" "clothing:shirt" "clothing:shirt" "bird:swan"
"politician:senator" "dog:pet" "song:opera" "appliance:refrigerator" "song:opera" "appliance:refrigerator"
"art:abstract" "pen:ballpoint" "bird:robin" "dollar:currency" "art:abstract" "pen:ballpoint"
"car:mustang" "automobile:van" "currency:dollar" "oak:tree" "automobile:van" "currency:dollar"
"furniture:chair" "furniture:couch" "mammal:porpoise" "bread:wheat" "mammal:porpoise" "furniture:chair"
